	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
decreased large unstained cell number	immune system phenotype,hematopoietic system phenotype	Avp,Cdh13,Cxcl9,Cyp19a1,Dyrk1b,Dyrk2,Eftud2,Elmod1,Fabp1,Gabra2,Ikzf3,Il18rap,Itgae,Lyn,Otub1,Pdpr,Pkn1,Plppr5,Ppm1m,Rab19,Scaper,Stx7,Ube2j2	23	24	10	1
decreased late germinal center B cell number	immune system phenotype,hematopoietic system phenotype	Aicda	1	0	0	2
decreased lean body mass	growth/size/body region phenotype	1700008P02Rik,2210408I21Rik,Acap2,Acsl4,Adal,Adam32,Agbl1,Agpat4,Aldh3a1,Aldh3b1,Alg13,Alg8,Alpk2,Amfr,Angel1,Ankrd13a,Ap1g1,Aph1c,Arhgap11a,Arl10,Arpc5l,Arpin,Arrdc5,Aspm,Atg4a,Bag3,Baz2b,Bbs5,Bbx,Bmi1,Bpi,C1rl,Cacng6,Camk1d,Camsap3,Cartpt,Cbx4,Ccdc116,Cdan1,Cdh19,Ceacam3,Cenpj,Cep19,Cep250,Clpp,Clrn2,Clstn3,Cnih3,Cnot4,Cntnap5a,Cog1,Cpgi11865,Cpt1c,Crcp,Cspp1,Ctr9,Ctsj,Cxcr1,Cyp17a1,Cyp2b13,Cystm1,D930020B18Rik,Dap3,Dbpht2,Dctn4,Dhx40,Dlg4,Dlk1,Dmxl2,Dnah17,Dnase1l2,Dnd1,Dok7,Dpp8,Dram1,Duoxa2,Dusp3,Ech1,Efcab7,Eid2,Eif1ad,Elk4,Elmod2,Emc3,Emc8,Eomes,Epas1,Erlin1,Esr2,F2,F7,F730043M19Rik,Fadd,Fam81b,Farsa,Fbf1,Fbxl3,Fgd4,Fgf10,Flnb,Flnc,Fndc3a,Fndc9,Fos,Foxk2,Foxn1,Fshr,Fyttd1,G2e3,Gabrg3,Gars,Gas7,Ghrh,Ghrhr,Gimap6,Glg1,Glra4,Gmds,Gng13,Gnl1,Gpatch1,Gpr15,Gpr173,Greb1l,Grik4,Gsk3a,Gstcd,Gsto1,Gtf2a1,H2-Eb2,H2al2a,Hadhb,Hao2,Hapln4,Hdgfl3,Heca,Hectd3,Herc1,Hrh4,Hsf5,Hspb9,Htr2b,Ifitm1,Igsf8,Il18rap,Il31ra,Iqsec3,Itgae,Kash5,Kbtbd8,Kdm5b,Kif18b,Kif3b,Kiss1r,Kmt2e,Krt26,Krt75,Kti12,Lats1,Lefty1,Lepr,Lmod3,Lrrk1,Lss,Ltv1,Luc7l3,Mamld1,Map7d1,Mbtd1,Mcidas,Mcmbp,Mcu,Med16,Mettl26,Micalcl,Minar2,Mir129-2,Mir320,Mir96,Mpv17l2,Mrap2,Mrps22,Mta1,Myh1,Myo15,Myom1,Mysm1,Nans,Ncald,Ncor2,Neurod2,Nexmif,Nfkb1,Nhlh2,Nipa1,Npy5r,Nup205,Nxn,P2rx6,Pak5,Pcm1,Pcnx2,Pcx,Pcyox1l,Pde8a,Pdgfrl,Pgbd5,Phkb,Phldb1,Pias2,Pigf,Pla2g2a,Plac9a,Pld5,Ppil3,Ppp2r2a,Ppp2r2d,Ppp2r5c,Prdm14,Prmt7,Prpf31,Ptgr1,Pth1r,Ptp4a2,Pttg1ip,Pxylp1,Pycr2,Qrsl1,Rab24,Rab8a,Rabl2,Rac1,Rapgef4,Rbmx,Rbpms2,Rhbdd1,Ric8a,Rnf10,Rnf24,Rnpc3,Rrm2,Rrp1,Rspo4,Rsu1,Rtn4r,Rufy1,Rundc1,Rwdd2a,Scrib,Sdhaf3,Sec11c,Selenok,Serac1,Sertad3,Sfrp2,Shank1,Shh,Shtn1,Slc10a3,Slc13a5,Slc25a21,Slc38a10,Spidr,Spn,Srebf2,Sst,Stag3,Stau2,Stk33,Stmn2,Sun2,Syce2,Syk,Szrd1,Taf11,Tatdn3,Tceal1,Tcf20,Tenm4,Tex38,Tfeb,Tm2d3,Tmem132a,Tmem189,Tnik,Tpgs2,Trappc10,Trappc9,Trf,Trim25,Trim35,Trim37,Trip13,Tsga13,Tspan9,Ttc7,Ttll3,Tulp3,Tut4,Ube4a,Ubr2,Ufm1,Unk,Upb1,Usp1,Usp10,Usp12,Usp13,Usp38,Usp42,Usp53,Vps13b,Vps25,Xxylt1,Ypel4,Ythdc2,Zbtb45,Zc3hc1,Zfp202,Zfp407,Zfp462,Zfp593,Zfp629,Zfp92,Zfyve21,Zmym4	326	303	136	57
decreased leukocyte cell number	immune system phenotype,hematopoietic system phenotype	1700029H14Rik,Abcc5,Abhd16a,Abhd3,Abtb2,Adgrb1,Adgrf5,Akap11,Aldoa,Ankrd13a,Aqp11,Arhgap30,Asb7,Aste1,Asxl1,Bahd1,Blnk,Ccdc83,Ccdc88b,Cd74,Cdh23,Cdk5rap2,Chmp7,Chst12,Cibar1,Cilp,Cmbl,Cntfr,Csf2,Csmd1,Cyp19a1,Dennd1c,Dhx40,Dip2b,Dnajb3,Dnase1l2,Dtwd1,Duoxa2,Dynlt4,Eftud2,Elapor1,Elapor2,Elmod1,Epas1,Epc1,Eppin,Eps15,Erg,Erlec1,Esr2,Fbxo10,Fbxo7,Fbxw13,Fgd3,Gabra2,Gatm,Gigyf2,Gimap8,Gna11,Got1,Hapln4,Herc1,Hira,Hnrnpd,Ift80,Ikzf3,Ipp,Irf5,Irgm1,Itgae,Kcnh4,Kif13b,Klc2,Klhl30,Kmt2d,Laptm5,Lepr,Lrrc8c,Lyn,Macir,Mbd5,Med18,Med20,Memo1,Mepce,Metrnl,Mettl21c,Mettl5,Mfsd1,Mfsd10,Myh1,Myo3b,Mysm1,Nab2,Nadk2,Nans,Ncf2,Nek3,Neurl2,Neurl4,Ogn,Olfr376,Parg,Parp1,Pax5,Pcdhb13,Pdia4,Phactr1,Phf20l1,Pkn1,Pkn3,Pla2g2d,Pou2af1,Prkab1,Prkdc,Prmt7,Prss53,Prss56,Rab20,Reg3d,Ric1,Rnasek,Sap130,Scaf11,Secisbp2,Selenow,Sertad3,Setd1a,Setx,Sfxn4,Six1,Slc23a4,Slu7,Snf8,Speer4f1,Spns2,Sugp1,Sult1c1,Synpo2,Tbc1d4,Teddm1a,Tex29,Tnip1,Traf3ip3,Trap1,Trim37,Tssk5,Ube2f,Ube2j2,Ubtf,Uevld,Unk,Upf3b,Ush1c,Usp40,Usp47,Usp5,Wdr37,Wdr59,Zc3h11a,Zfp408,Zfp595,Zscan10	163	109	45	35
decreased liver weight	liver/biliary system phenotype	Acsl5,Atp6v1g2,Cadps2,Calcr,Gh,Katna1,Kiss1r,Notch3,Shank2,Wasf2,Xlr3a	11	6	0	5
decreased lumbar vertebrae number	skeleton phenotype	Mta1	1	1	0	1
decreased lung elastance	respiratory system phenotype	Ap4e1,Dcaf8,Klk11,Mfng	4	1	2	5
decreased lung tissue damping	respiratory system phenotype	Ap4e1,Prkab1	2	0	1	1
decreased lung weight	respiratory system phenotype	Adamts15,Cygb,Hpcal4,Notch3,Nudt14,Rhpn1	6	2	0	4
decreased lymphocyte cell number	immune system phenotype,hematopoietic system phenotype	Abcc5,Abce1,Abhd3,Adgrf5,Adipor1,Ajuba,Asb7,Atg4c,Atn1,B3galt2,Bahd1,Bcl3,Bfsp1,Blnk,Btg1,Cabp1,Carm1,Ccdc83,Ccdc88b,Cckbr,Cd19,Cd22,Cd74,Chst12,Clcnkb,Col1a2,Col4a5,Cpne7,Cstb,Cyp19a1,Dip2c,Dlgap2,Dtwd1,Duox2,Eftud2,Eif2a,Elapor1,Elmod1,Epg5,Erlec1,Esr2,Fbxo15,Fgd3,Fndc9,Gabra2,Galr1,Gna11,Got1,Gstm5,Hddc2,Hnrnpd,Ikzf3,Il10ra,Il2ra,Ing4,Ints6l,Irf4,Itk,Itprid1,Kcne1,Lepr,Lmod3,Lrrc8c,Lrrk1,Lyn,Mcl1,Mfsd1,Ms4a12,Nans,Nav2,Npas2,Nucb1,Olfr380,Parp1,Phf20l1,Pik3c2a,Pkn1,Pou2af1,Prkab1,Prkdc,Rasal3,Rft1,Rgs4,Rnf10,Rnf216,Sdc4,Sema3e,Sertad3,Setx,Speer4f1,Stat1,Sugp1,Synpo2,Teddm1a,Tiparp,Tnip1,Trim37,Ube2f,Ube2j2,Ubl7,Ubtf,Upf3b,Usp31,Zc3h12c,Zfp595,Zswim1	106	70	43	23
decreased macrophage cell number	immune system phenotype,hematopoietic system phenotype	Adam33,Arpc1b,Gmds,Spink14,Spink6	5	1	0	4
decreased marginal zone B cell number	immune system phenotype,hematopoietic system phenotype	Arhgef1,Bach2,Cog6,Gm5544	4	1	1	5
decreased marginal zone precursor B cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b	1	0	0	1
decreased mature B cell number	immune system phenotype,hematopoietic system phenotype	Arhgap17,Bach2,Cxcr2,Dph6,Duoxa2,Elk4,Hbs1l,Ifitm1,Mysm1,Pknox1,Plcg2	11	6	8	5
decreased mature NK cell number	immune system phenotype,hematopoietic system phenotype	Arpc1b,Gmds,Spink14	3	0	0	5
decreased mean corpuscular hemoglobin	hematopoietic system phenotype	1700019D03Rik,AW112010,Abcb4,Abcb9,Abcc2,Abcg8,Adgrf5,Adgrl4,Ago1,Ap2a2,Ap4e1,Arhgap30,Arhgef4,Asxl1,Atp6v0d1,Atp6v1b2,Baz1a,Bin2,Bok,Calb1,Caprin2,Ccdc181,Ccdc57,Ces2e,Chd1,Clcnkb,Cldn13,Cln6,Col4a5,Cp,Cpeb4,D6Wsu163e,Dctn4,Dhfr,Dmd,Dnajc7,Dnase1l2,Dnm2,Ehbp1l1,Eif2b3,Elk3,Eme1,Epb41,Eps15,Etaa1,Exd1,Fbxo10,Fbxo43,Fbxo9,Fbxw2,Fcho2,Fcmr,Ggnbp2,Ghrh,Gimap6,Gls2,Gpbp1l1,Gpr146,Hbb-bh2,Hbq1a,Hemgn,Herc1,Il22ra1,Il2ra,Insyn2b,Ints9,Kat2b,Klrc3,Lmbrd1,Lpin2,Lsm14b,Mettl5,Mfap4,Myl12b,Nacad,Ncaph,Nemp1,Nipa1,Nxn,Pacsin2,Pik3c2a,Pld3,Plk1,Plpp3,Ppp2r2b,Prkab1,Prss33,Prss35,Ptprv,Rab11a,Rab40c,Rab5a,Rab5c,Rasgrp3,Rd3,Rexo4,Rfxank,Rhag,Rnf10,Rnf148,Scarb2,Sec63,Sgms1,Slc25a21,Slc29a3,Smoc1,Spryd3,Sqstm1,Srsf7,Supt4a,Susd1,Tent5c,Tfrc,Tmprss6,Tomm22,Tpcn1,Trappc10,Trappc9,Ubox5,Unk,Uqcrq,Usp21,Vsig4,Wars,Wee1,Xkr5,Zfp106,Zfp367,Zfp644,Zswim1	130	59	71	43
decreased mean corpuscular hemoglobin concentration	hematopoietic system phenotype	Abcb4,Abcb9,Abcg8,Adgrf5,Aire,Atp5b,Atp6v1b2,Baz1a,Ccdc181,Chd1,Cln6,Cog6,Cp,Dkk3,Dnhd1,Eif2b5,Entpd1,Exd1,Fam210a,Fam83g,Fbxo9,Fcmr,Ggnbp2,Gpr146,Hhip,Hnrnph1,Hnrnpr,Il2ra,Iqcj,Lamb3,Lmbrd1,Lpin2,Nefh,Nemp1,Nxn,Otulin,Pacsin2,Pex6,Pknox1,Plk1,Ppp2r5e,Ppp5c,Prkab1,Prkd1,Prkdc,Rad21l,Rai2,Rd3,Rhbdd1,Rhd,Rnf10,Sec63,Serpinf1,Shprh,Sirpb1a,Slc29a1,Slc29a3,Sparc,Spryd3,Srcap,Stard8,Supt4a,Syt1,Tm2d1,Tmprss6,Trappc2l,Ttc39a,Ube2e1,Upk1b,Usp12,Wee1,Wnt6,Xkr5,Zfp280d,Zfp61	75	40	40	16
decreased mean corpuscular volume	hematopoietic system phenotype	0610040J01Rik,AW112010,Abca14,Abcc2,Abcg8,Adgrf5,Adgrl4,Ap2s1,Ap4e1,Aplp2,Arhgef6,Arl6ip1,Aspg,Atp6v0d1,Atp6v1b2,Bag1,Bbc3,Bckdha,Bex6,Bola2,Cab39l,Ccdc57,Ces2e,Clcnkb,Cldn13,Cnp,Col4a5,Cp,Crlf3,Ctla2b,Ctsm,Cyb561a3,Cyp7a1,D16Ertd472e,Dhfr,Diaph3,Dmd,Dnaja4,Dnm2,Drd3,Ebf2,Ecm1,Eif2b5,Entpd1,Epb41,Epha5,Eps8l3,Exd1,Fbxo10,Fbxo11,Fbxo36,Fbxw2,Fcer1g,Fgf14,Gde1,Ghsr,Gimap6,Gna11,Gpr146,Gpr158,Gps1,Hemgn,Ighmbp2,Kif26b,Lhfpl1,Lss,Mta1,Myd88,Myl12b,Myl2,Ncf1,Nemp1,Ninl,Nr1h4,Nsun2,Nxn,Pcsk1,Plac9a,Plpp3,Ppm1m,Prdm2,Prkab1,Prom2,Ptgis,Ptp4a2,Ptprv,Rab11a,Rasgrp3,Rbl1,Rbm22,Rcc2,Retreg3,Rhag,Rhd,Rock1,Rusc1,Rxrg,Scarb2,Septin8,Setd2,Shroom4,Slc15a3,Slc25a21,Snx13,Spred2,Sqstm1,Stat1,Stradb,Susd1,Tfrc,Tmprss6,Tpcn1,Trpm6,Tspan32,Umod,Uqcrq,Usp2,Usp31,Wars,Xrcc3,Ywhaz,Zfp36,Zfp644	123	58	83	25
decreased mean platelet volume	hematopoietic system phenotype	1110032A03Rik,3300002A11Rik,AW112010,Abcc2,Acad12,Aopep,Armc7,Atf4,Atp2a2,Atp5g2,Atp6v1d,Bnip2,Camsap3,Cbx6,Cd226,Cdyl,Ceacam12,Cep250,Cfap61,Chd2,Clpp,Col1a2,Cpgi11865,Cpgi81,Ctr9,Cul4a,Cyp27a1,Cyp2b13,Cyp3a59,Cyp4b1,Dbn1,Dennd4c,Dipk1a,Dll1,Dnah17,Dnmt3b,Duoxa2,Edar,Elapor2,Erlin1,Ethe1,Fads3,Fbxo25,Fbxo36,Fignl1,Fyb,Gm5083,Gsk3a,Hapln4,Ifnar1,Il17re,Insig2,Jmjd6,Kcnj10,Krt26,Krt33b,Lamtor4,Lypd2,Marchf6,Mgat4c,Mpzl1,Nxn,Opn3,Panx3,Pink1,Pla2g6,Plcz1,Pld5,Prkab2,Psen1,Ptprd,Rab32,Rabggta,Rasgrp3,Rnf4,Rock1,Scarf2,Sdc4,Setd3,Sh3bgrl3,Stk26,Syncrip,Tardbp,Tbx20,Tmem106b,Tox2,Trdmt1,Trim37,Tut4,Uqcrq,Usp16,Usp40,Yae1d1,Zfp182,Zfp239,Zfp408,Zmym4	97	36	49	24
decreased memory CD4-positive, CD25-positive, alpha-beta regulatory T cell number	immune system phenotype,hematopoietic system phenotype	Duoxa2,Gmds	2	0	0	2
decreased memory-marker CD4-negative NK T cell number	immune system phenotype,hematopoietic system phenotype	Abcg8,Bach2,Clpp,Cog6,Gimap6,Gmds,Hbs1l,Nub1,Sik3,Ube3c	10	2	2	13
decreased memory-marker CD4-positive NK T cell number	immune system phenotype,hematopoietic system phenotype	Arhgef1,Babam1,Bach2,Clpp,Cog6,Gmds,Krtap8-1,Niban1,Nub1,Pdia6,Prss54,Sik3,Tent4a,Tmem150b,Ube3c	15	2	6	10
decreased memory-marker NK cell number	immune system phenotype,hematopoietic system phenotype	Adap1,Bach2,Cog6,D6Wsu163e,Fbxw26,Tmem127	6	0	0	7
decreased memory-marker gamma-delta T cell number	immune system phenotype,hematopoietic system phenotype	Arhgef1,Cog6,Duoxa2	3	0	0	3
decreased monocyte cell number	immune system phenotype,hematopoietic system phenotype	Adam33,Agpat4,Arl5c,Asb7,Atf4,Bmi1,Ccdc83,Ccdc88b,Ccr2,Cd40,Chd8,Elmod1,Esr2,Fbxo36,Fbxo38,Fgd3,Gemin5,Glra2,Gp1bb,Gprc5b,Hbs1l,Hells,Hmox2,Ifnar1,Il13,Ints6l,Itgae,Itm2c,Ldlrad4,Lta,Lypd2,Mfsd8,Minar1,Nsd3,P2ry14,Phf11a,Pkn1,Pou2af1,Prss27,Pycr2,Rel,Rnf14,Spn,Stk26,Susd6,Synj1,Tmem127,Tmem74,Tnfrsf17,Tnfrsf1a,Trap1,Trim37,Ube2j2,Ufm1,Xbp1,Xiap,Zswim1	57	27	15	26
decreased neutrophil cell number	immune system phenotype,hematopoietic system phenotype	Ablim3,Acvr2a,Adcy1,Ampd1,Angptl4,Apex2,Asb7,Atl2,Avp,Bdkrb1,Bicd1,Btbd1,C2cd4a,C8a,Cacna1c,Cartpt,Ccdc88b,Ccdc92,Ccr2,Cdc7,Cib1,Clec4a4,Clec5a,Cpa1,Cps1,Cry1,Cxcl1,Cxcl9,Daam2,Dicer1,Ecm1,Efemp1,Eif4enif1,Endou,Ethe1,Fbxo10,Fbxw13,Fgd3,Flnb,Frrs1l,Fstl1,Gfi1b,Glra2,Gna11,Gprin1,H2bc4,Hnrnph1,Il18rap,Il21,Il9r,Itgae,Kctd15,Kif20a,Krt33b,Lrrc8c,Lum,Lypd2,Lyst,Mc1r,Mpp6,Mxra7,Neurl4,Nr1h3,Nutf2,Pex6,Pfkfb2,Pgs1,Pkn1,Plac9a,Pnma3,Pon2,Ppl,Prpf18,Prss54,Ptgdr,Ptprm,Rexo2,Rnf14,Runx1t1,Samd3,Scarf2,Sdhb,Slc15a3,Slc36a1,Slc6a6,Spata24,Speer4f1,Spx,Srpk3,Stat4,Susd6,Synj1,Tardbp,Teddm1a,Tmed3,Tmem115,Tmem127,Tnfrsf1a,Trap1,Trpc1,Trpc3,Trub1,Ube2z,Ubl4b,Usp45,Usp47,Zbtb48,Zc2hc1c,Zc3h8,Zfp420,Zfp804a	111	103	24	28
decreased plasmacytoid dendritic cell number	immune system phenotype,hematopoietic system phenotype	Gmds,Pclaf,Tmem127,Vps13a	4	0	0	10
decreased pre-B cell number	immune system phenotype,hematopoietic system phenotype	Cxcr2	1	0	0	1
decreased pre-pro B cell number	immune system phenotype,hematopoietic system phenotype	Cxcr2	1	0	0	1
decreased prepulse inhibition	nervous system phenotype	9530003J23Rik,Abcb9,Abce1,Abhd11,Abi2,Adgrv1,Adnp2,Adra2a,Aire,Ajuba,Alpk3,Arid1b,Arih2,Asic3,Aspa,Atf7,Atg4b,Atp5b,Atp6v1b1,Atp6v1c1,Aven,B2m,Bach2,Baiap2l2,Bbox1,Bscl2,C9,Cacna2d1,Cad,Camk1,Camk2b,Caskin1,Ccdc9b,Ccr8,Cdca7l,Cep85l,Chd2,Cib2,Ckb,Clic5,Clk2,Clmn,Cnp,Col1a2,Colca2,Colec12,Cops7a,Cramp1l,Crybg1,Cstdc2,Ctc1,Ctsa,Ctsk,Dhfr,Dhx8,Dnaaf9,Doxl2,Dpf3,Dtx1,Duox2,Dym,Ebf1,Efr3b,Elmod1,Epg5,Eps8l2,Ermp1,Evc2,Fam107a,Fam160b2,Fam162a,Fam53b,Fgf14,Fndc9,Foxo3,Foxo4,Gad2,Gatm,Gdpd5,Gh,Gm4922,Gnptg,Gria1,Grik4,Hipk3,Hnf4a,Hnrnpab,Hoxa2,Hunk,Id3,Ifi44,Immp2l,Iqgap2,Iqsec3,Irgc1,Jade2,Kcne1,Kdm3a,Kif13a,Klhdc7b,Laptm4b,Lef1,Lgmn,Lmod3,Lonp1,Lpin2,Maf,Maml2,Mamld1,Mapkap1,Marchf6,Marveld2,Mboat1,Mboat2,Mcidas,Meis1,Mipol1,Mllt6,Mmp2,Mpz,Muc5b,Myc,Myh1,Nedd4l,Nek1,Neurl4,Nin,Nkapd1,Nmb,Notch3,Npc2,Nptn,Ntrk2,Osbpl8,Oser1,Otoa,Palm3,Panx2,Patl1,Pjvk,Plekhm1,Plod1,Prkd2,Prkdc,Ptpra,Ptprv,Rab3gap2,Rabgap1,Retreg3,Rgl1,Rhoq,Rnf10,Rsf1,Rtl5,Rtn4,Rwdd3,Sesn1,Setd2,Setd3,Shisa9,Slc17a8,Slc24a5,Slc29a1,Slc44a1,Slc44a4,Slc7a8,Smim8,Spin1,Spock1,Sra1,Stbd1,Stim2,Stoml2,Strbp,Sun1,Taf12,Tanc2,Tas2r102,Tlcd3b,Tmem145,Tmem203,Tmem222,Tmem51,Tmprss6,Tmtc4,Tox,Tprn,Trappc2l,Trp53inp2,Tulp3,Ube3c,Ubox5,Usp53,Vgf,Wbp1l,Wdr33,Xk,Ypel2,Zbtb12,Zbtb42,Zdhhc24,Zfp280d,Zfp281,Zfp462,Zfp609,Zfp787	206	169	188	121
decreased pulmonary respiratory rate	respiratory system phenotype	Arap1,Commd9,Comt,Golga3,Grp,Il13,Insl5,Kcnj3,Klhdc2,Mapkbp1,Mex3b,Neurod2,Nrxn1,Tspan15	14	3	2	10
decreased pulmonary ventilation	respiratory system phenotype	Aldoc,Arap1,Casp4,Catsper3,Cdh26,Dusp13,Elfn2,Eps8l1,Gpank1,Gpsm1,Grk5,H2-Q10,Kcnj3,Klk4,Msantd1,Nmral1,Parp12,Pfn4,Phpt1,Plcb2,Pnck,Spata6,Svs2,Syt17,Taar6,Thpo,Trappc2,Unc119b	28	27	16	23
decreased red blood cell distribution width	hematopoietic system phenotype	1500011B03Rik,Aars2,Abhd13,Atl2,Avpi1,Baz2a,Bdkrb1,Becn1,Brcc3,C8b,Cep55,Chd1,Clpp,Cmtm5,Cpa1,Crim1,Ctnnbip1,Ctr9,Ctso,Cyb561a3,Depdc7,Dicer1,Duox2,Duoxa2,Dusp3,Ech1,Eomes,Ermap,Fabp1,Fam53b,Fbxl2,Fbxw13,Flnb,Fntb,Fxyd3,Fzd6,Gatm,Gfpt1,Gins2,Glra2,Gnao1,Gtpbp3,Hip1,Hnrnpr,Idh1,Ints12,Ints6l,Irf7,Kdm8,Kif18b,Kif3b,Krt75,Lifr,Lrba,Lrit3,Medag,Mgat1,Myo15,Nav3,Ndufb9,Nxn,Oplah,Pard3,Pcx,Pdlim1,Pik3c2a,Pkn1,Pla2g2c,Plac9a,Pld5,Pnpla5,Ptprd,Rab1a,Sdc2,Slc15a3,Slc24a4,Slc6a6,Slitrk4,Smim23,Synj1,Tasor,Terf2ip,Tm9sf4,Tmem185a,Tnfrsf1a,Trh,Trim25,Trim37,Ube2e1,Ube3a,Ufm1,Usp1,Vps13a,Vrk1,Wfdc11,Xbp1,Xkr5,Zfp54,Zranb3	99	65	20	21
decreased regulatory T cell number	immune system phenotype,hematopoietic system phenotype	Bach2,Gmds,Ncf2,Pclaf,Rwdd1,Sik3,Trim56	7	7	3	0
decreased respiratory quotient	homeostasis/metabolism phenotype	Ap4e1,Bach2,Bbip1,Bbs5,Bscl2,Camsap3,Car14,Cystm1,Dynlt2b,Gm12258,Gnao1,Hcrt,Hoxa2,Lratd2,Mamld1,Nek3,Neurod2,Nucks1,Phf19,Phgdh,Ppp6c,Prkd2,Sez6l,Spop,Strbp,Tanc2,Tent5a,Tomm6,Ube3a,Ube3c,Vrk1,Wsb2	32	9	11	18
decreased sacral vertebrae number	skeleton phenotype	Asxl1,Mta1,Mysm1	3	3	1	1
decreased skeletal muscle mass	muscle phenotype	Clnk	1	0	1	0
decreased spleen weight	immune system phenotype,hematopoietic system phenotype	0610040J01Rik,1700037C18Rik,2700097O09Rik,Abhd13,Ablim3,Adcy1,Anks1,Ap5m1,Apoe,Atl2,Bbs1,Bbs5,Bicc1,Bicd1,Blnk,Brwd1,Camk4,Card11,Cbarp,Ccdc88b,Ccnd2,Cd3eap,Cd74,Cdca7l,Cnksr1,Cpt1c,Crybb3,Ctss,Deup1,Dicer1,Dnase1l2,Efr3b,Egr4,Eif2ak2,Eif2s2,Endog,Erg,Fads1,Fam185a,Fam53a,Fgf9,Fndc3a,Gabra2,Gars,Gfpt1,Gh,Gmip,Gnl1,Gpr155,Gpr39,Gpr61,Gria1,H1f0,Hook1,Ifitm1,Il18,Iqgap1,Kctd7,Kdm8,Klhl1,Lepr,Luc7l,Map3k8,Mettl26,Mindy2,Nans,Ndufc2,Nkg7,Nlgn3,Nsun5,Nufip1,Nxn,Otoa,Oxgr1,Pawr,Pcm1,Phrf1,Plat,Popdc3,Pou2af1,Ppdpf,Ppfibp2,Ppie,Prkcq,Ptgdr,Rab1a,Rab39b,Rac2,Ranbp17,Rapgef4,Rapsn,Rnf10,Rpe,Rrm2,Sash1,Sinhcaf,Slc30a2,Slc7a13,Snap23,Spata2,Stx7,Susd1,Sybu,Syngr3,Taf9b,Tenm4,Tfr2,Thbd,Timm8a1,Tm2d1,Tmem106b,Tmem119,Tnfrsf1a,Trim39,Trim9,Trip6,Ubl7,Unc5c,Usp31,Usp45,Usp53,Vps13b,Vwc2l,Zfp160,Zfp462,Zfyve21,Zmym2,Zzef1	128	52	23	64
